"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","root_weight_commercial","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","DM_nirs","frogskin1_5","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","ave_WAB"
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_COL1516_527",1,527,19,5,"test"," (Operator: lizbethpino, Time: )","COL1516","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,28.4,210,8.7890625,4.5,4,1,20,6,4,2,210,70,4,2,1,2,2,29,3830,272,1,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,8.7890625,2.49609375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_COL1736_467",1,467,17,3,"test"," (Operator: lizbethpino, Time: )","COL1736","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,33.4,150,7.421875,3.8,4,1,5,6,4,3,150,50,4,3,1,3,3,15,3600,351,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,7.421875,2.47890625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia","COL-40","202393DVGST_stom_rep1_COL40_31",1,31,2,28,"test"," (Operator: lizbethpino, Time: )","COL40","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,21.7874449339207,70,1.5625,0.8,3,1,0,2,4,4,140,30,2,2,1,5,1,8,470,16,0,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,4,50,1.5625,0.340428827092511,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_COL764_437",1,437,16,28,"test"," (Operator: lizbethpino, Time: )","COL764","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,20.2,80,1.7578125,0.9,4,1,5,4,4,4,130,20,4,1,1,4,2,8,800,19,0,4,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,4,100,1.7578125,0.355078125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CR13-8_270",1,270,10,21,"test"," (Operator: lizbethpino, Time: )","CR13-8","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,25.4,60,13.671875,7,4,2,20,6,4,4,180,50,4,2,1,2,3,33,4970,270,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,13.671875,3.47265625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia","CR243","202393DVGST_stom_rep1_CR24-3_262",1,262,10,29,"test"," (Operator: lizbethpino, Time: )","CR24-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,25.7,150,3.515625,1.8,4,1,7,4,4,4,150,40,4,2,1,3,3,17,1710,96,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,3.515625,0.903515625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CR25-4_529",1,529,19,7,"test"," (Operator: lizbethpino, Time: )","CR25-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,30.1,60,1.953125,1,3,1,1,4,4,4,120,30,4,3,1,4,2,7,1050,84,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,1.953125,0.587890625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CR27-20_183",1,183,7,9,"test"," (Operator: lizbethpino, Time: )","CR27-20","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,28.4,70,7.2265625,3.7,4,2,9,2,4,4,120,40,4,1,1,2,2,19,3480,248,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,7.2265625,2.05234375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia","CR52A-4","202393DVGST_stom_rep1_CR52A-4_601",1,601,21,21,"test"," (Operator: lizbethpino, Time: )","CR52A4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",4,1,25.1,60,2.5390625,1.3,4,3,4,6,4,4,180,60,3,3,1,3,3,10,1350,71,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,2.5390625,0.6373046875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CUB46_581",1,581,21,1,"test"," (Operator: lizbethpino, Time: )","CUB46","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,23.6,200,8.984375,4.6,4,2,10,6,4,3,200,60,3,1,1,2,3,15,4250,188,1,4,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,4,100,8.984375,2.1203125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CUB74_580",1,580,20,1,"test"," (Operator: lizbethpino, Time: )","CUB74","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,24.2,180,4.4921875,2.3,4,1,4,8,4,3,180,50,4,3,1,3,3,12,2350,112,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,4.4921875,1.087109375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM10057-1_322",1,322,12,27,"test"," (Operator: lizbethpino, Time: )","GM10057-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",4,1,25,40,3.90625,2,4,2,7,6,4,4,160,40,3,3,1,3,3,12,2000,104,0,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,3.90625,0.9765625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM10057-15_113",1,113,4,4,"test"," (Operator: lizbethpino, Time: )","GM10057-15","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,21.8,60,4.296875,2.2,3,2,8,6,4,4,150,30,4,3,1,4,1,19,1900,64,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,4.296875,0.93671875,NA
