"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14667A-3",3.64,1.46,32.28,2.6,95.84,223.91,87.24,37.73,2.31,3.61,1.03,1.85,16.21,7.37,1.2,2.23,3.03,3.53,3.19,1.14,4.42,7.85, , ,-0.1,0.4,38.3, , , ,0.2,0.5,38.4, 
"GM14672A-1",3.14,2.23,32.43,4.79,96.86,229.63,84.85,48.53,2.25,3.17,1.03,2.38,16.51,7.9,1.28,2.73,1.07,3.03,4.78,1.02,4.38,12.21,2.8,7.6,2,1.3,40.8,5.7,4.3,11,1.7,1.2,40.8,7.7
"GM14672A-10",1.12,2.09,32.86,3.53,97.46,244.46,145.94,49.23,2.43,3.72,1.04,2.08,15.63,7.74,1.31,2.37,2.03,3.3,3.64,1.05,4.23,9.1,8.2,21.4,0.5,0.3,40.4,14.3,6.2,16,0.6,0.6,40.8,11.2
"GM14672A-11",0.58,2.15,27.56,3.06,96.94,213.05,177.44,48.79,1.76,3,1.22,2.39,18.15,8.88,1.13,2.27,1.26,2.82,4.11,1,4.28,10.19,8.3,16,1.8,2,41.8,12.3,6.9,14.5,1.9,1.9,41.2,10.8
"GM14672A-2",1.81,2.13,30.4,3.37,97.93,230.19,89.56,44.88,1.98,3.04,1.04,2.43,17.08,7.29,1.14,2.84,1.04,2.82,4.16,1.05,4.06,10.34,5.5,18.5,0.4,0.6,36.8,11.9,5.3,15.2,0.5,0.7,36.9,10.4
"GM14672A-3",1.54,2.05,29.82,4.23,96.33,225.44,154.82,46.64,2.32,2.86,1.02,2.38,18.93,8.32,1.14,2.15,1.08,2.63,5.03,1.06,4.37,12.8,5.3,9.1,0,-0.1,39.3,6.7,3.9,8,0.1,0.2,39.3,6.1
"GM14672A-4",1.45,2.33,29.87,4.01,97.08,256.84,195.58,53.55,2.22,2.31,1.03,2.38,19.44,10.44,1.12,2.88,1.07,2.68,5.04,1.08,4.49,12.41,5,11.1,1.4,0.9,40.8,6.7,6.6,11.8,1.3,0.8,41.1,9.3
"GM14672A-6",2.78,2.09,28.38,5.83,97.76,281.3,144.28,47.3,2.09,3.48,1.02,2.55,19.98,10.12,1.09,2.62,1.04,2.21,6.76,0.95,4.24,16.98, , ,0.9,0.9,38.5, , , ,1,1.1,38.7, 
"GM14672A-7",2.73,2.09,27.58,2.93,97.6,252.93,135.86,55.41,2.4,3.43,1.03,2.39,14.24,7.33,1.14,2.86,1.05,2.65,3.91,1,4.35,9.9,4.4,15,1.4,1.4,42.8,9.9,5,12.4,1.5,1.4,42.7,8.9
"GM14672A-8",4.22,2.17,28.34,3.01,91.87,204.95,106.76,47.58,2.22,3.29,1.06,2.11,17.16,6.64,1.54,2.82,1.28,3.22,3.93,1.1,4.3,9.79,6.3,15.7,1.6,2,38.9,10.7,6.2,15.7,1.5,2,38.9,11
"GM14672A-9",1.29,3.1,28.95,3.9,97.16,244.63,126.09,58.45,2.36,2.61,1.04,2.45,21.56,9.99,1.15,2.79,1.25,2.72,5.27,1.08,4.63,12.77,3.5,6.9,1.2,0.8,39.9,6.2,5,11.1,1.1,0.8,39.9,8.1
"GM14675A-1",2.94,1.22,27.5,3.68,96.05,249.48,138.88,51.14,2.23,3.31,1.03,2.24,22.12,8.35,1.15,2.49,2.94,2.59,5.33,1.05,4.32,12.9, , ,0.3,-0.2,42.7, , , ,0.2,0.2,42.8, 
"GM14675A-11",0.08,2.11,29.76,3.16,97.83,251.17,248.42,46.82,2.51,3.52,1.03,2.08,23.96,8.19,1.12,2.35,3,2.89,4.54,1.07,4.37,10.76,1.2,5.6,0.1,0.4,38.7,4.6,4.2,12.8,0.3,0.5,38.7,8.5
"GM14675A-2",3.99,2.12,32.56,4.04,98.27,226.59,96.67,51.27,1.75,2.92,1.04,2.43,18.18,8.07,1.14,2.81,2.17,2.89,5.14,1.08,4.43,12.49,3.9,13.8,1.3,1.2,41.3,8.3,4.2,12.8,1.2,1.1,41.8,8.6
"GM14675A-3",0.69,2.02,33.07,4.23,96.15,226.78,171.15,53.5,1.73,2.5,1.02,2.33,19.37,7.8,1.15,2.69,3.02,2.64,4.58,1.12,4.35,11.38, , ,0.8,1,39.6, , , ,0.8,0.9,40.3, 
"GM14675A-4",2.98,2.1,29.24,3.89,96.53,244.44,124.23,46.07,2.3,2.94,1.04,2.4,19.4,8.44,1.14,2.3,3.07,2.38,5.14,1,4.65,12.49,2.3,7.1,-0.2,0.2,43.5,2.8,6.3,12.7,0.2,0.3,43.1,9.4
"GM14675A-5",2.39,2.12,27.52,3.85,96.13,264.99,156.36,47.03,2.34,3.43,1.05,2.42,17.42,7.24,1.14,2.83,3.07,2.8,5.37,1.04,4.3,13.01,3.3,12.5,0,0,38.4,7.5,4.8,13.1,0.1,0.1,38.9,9.1
"GM14675A-7",1.29,2.16,29.08,3.13,97.36,230.48,145.09,50.68,2.23,3.4,1.03,2.42,20.5,8.19,1.15,2.28,3.07,2.91,4.12,1.02,4.44,10.21,8,22,0.9,0.1,42,14.4,6.9,16.8,0.5,0.4,42.4,11.8
"GM14675A-8",3.32,2.1,28.68,3.32,96.65,260.54,129.35,47.86,2.36,3.45,1.05,2.42,19.84,8.63,1.14,2.83,2.17,2.79,4.36,1.07,4.3,10.74,8.2,16.5,-0.3,0.2,38.2,12.9,5.5,13.5,0.2,0.6,37.7,9.6
"GM14675A-9",2.9,2.12,28.21,3.02,96.77,244.06,119.19,51.31,2.28,3.02,1.03,2.41,18.39,5.19,1.16,2.8,3.07,3.32,3.99,1,4.33,9.92,5.3,11.3,1.1,1.2,38.1,7.9,4,8.4,1.1,1.2,38.4,6.2
"GM14680A-1",1.33,2.15,26.37,3.9,96.86,251.47,147.69,58.97,1.86,2.72,1.04,2.11,20.91,8.35,1.15,2.26,3.05,2.69,5.66,1.09,4.31,13.64,7.6,29.2,0.2,0.7,35.7,17.9,6.2,21.6,0.3,0.8,36.3,14.1
"GM14680A-10",0.14,2.09,26.5,3.53,97.88,192.99,173.86,47.72,1.69,2.9,1.02,2.11,19.44,9.7,1.14,2.34,2.99,2.55,5.14,1.04,4.26,12.42,2,7.4,0.3,0.6,36.8,4.8,4.1,10.4,0.1,0.2,37.6,7.3
"GM14680A-11",0.65,2.14,26.36,2.95,96.87,218.9,193.35,48.35,1.82,2.69,1.21,2.11,19.78,6.76,1.15,2.8,3.05,3.18,3.89,1.07,4.58,9.69,2.9,9.3,1.7,0.8,42.8,6.5,5,10.8,1.4,0.6,43,7.9
"GM14680A-12",1.36,2.06,22.67,2.16,91.4,233.76,152.49,55.04,2.41,3.71,1.03,2.28,20.43,4.17,1.46,2.36,3.01,3.57,3.16,1.02,4.31,8,3.6,7.9,1,1.3,36.6,5.4,3.4,7.9,1,1.4,36.9,5.6
"GM14680A-2",0.49,2.14,28.36,3.57,96.15,240.89,197.95,51.13,1.75,2.44,1.05,2.38,23.27,9.16,1.11,2.25,3.06,2.82,4.6,1.46,4.25,11.27,3.3,13.5,1.8,1,41.5,8.6,4.8,15.6,1.4,0.9,42,10.2
"GM14680A-3",1.37,2.13,26.64,3.65,96.48,246.84,185.5,52.69,2.31,2.74,1.03,2.45,23.15,10.28,1.16,2.8,3.07,2.8,5.11,1.96,4.22,12.42, , ,1.7,1.3,40.1, , , ,1.3,1.1,39.6, 
"GM14680A-5",1.69,2.09,26.22,5.62,98.91,260.03,205.45,45.73,2.32,2.63,1.04,2.61,30.18,15.53,1.13,2.86,3.01,2.05,8.35,1.09,4.33,20.17,7.1,15.4,1.1,-0.1,43.6,11.2,4.1,9.4,1.1,0.3,43.5,6.7
"GM14680A-6",1.49,2.09,19.74,1.17,96.86,223.09,145.68,57.56,2.36,3.84,1.05,2.3,12.61,5.4,1.13,3.05,3.05,4.22,2.21,1.04,4.36,5.19,4.7,11.7,2.1,1.9,41.2,8.1,5.3,14.6,1.9,1.5,41.3,10
"GM14680A-7",1.43,2.13,26.66,4.03,95.36,247.55,196.2,56.59,1.4,2.14,1.05,2.43,18.54,6.36,1.21,2.65,3,2.51,5.16,1.14,4.67,12.77,9.4,22.5,0.8,1.2,40.6,16.2,9.1,19.1,1,1,40.6,14
"GM14680A-8",0.49,2.33,27.56,1.38,97.64,248.32,216.86,60.85,1.93,3.11,1.01,1.87,11.53,4.53,1.12,2.74,3,4.24,2,1.01,4.26,4.82,6.2,22.2,0.2,0.2,40.3,14.3,6.3,20.3,0.4,0.4,40.9,13.5
"GM14680A-9",1.98,2.01,22.21,1.85,95.71,220.31,143.64,49.56,2.45,3.38,1.03,1.95,11.66,5.59,1.13,2.21,2.62,4.23,2.86,1.11,4.25,6.85, , ,-0.1,0.2,42.7, , , ,0.1,0.2,42.4, 
"GM14682A-1",0.29,2.03,28.29,2.44,96.2,235.61,218.38,54.28,1.25,1.87,1.2,2.36,14.49,4.82,1.21,2.89,3.03,2.86,3.25,1.11,4.34,7.9,2.9,8.1,-0.2,1,35.1,3.6,5.5,12.7,0.2,0.9,35.4,9.1
"GM14682A-10",1.53,2.08,27.91,3.66,96.9,238.39,154.56,56.38,1.28,2.05,1.04,2.39,16.39,7.61,1.13,2.68,3.01,2.32,5.36,1.05,4.38,12.7,6.8,17.3,0.4,0.6,35.4,11.8,5.9,14.6,0.6,0.7,36.5,10.3
"GM14682A-4",2.97,2.15,27.25,4.95,96.61,231.95,126.24,46.46,1.35,2.5,1.04,2.42,26.44,13.53,1.15,2.82,3.07,1.95,7.49,1,4.65,17.74,4.3,8.5,0.1,-0.1,38.4,8.2,4.5,12.6,0.3,0.2,38.5,8.5
"GM14682A-5",-0.1,2.09,28.11,3.78,96.92,243.6,239.36,52.85,1.62,2.72,1.03,2.05,23.48,11.75,1.13,2.39,3,1.98,5.8,1,4.3,13.57,4.5,16.3,0.7,0.7,39.2,10.8,6.9,19.8,0.2,0.5,39.6,13.4
"GM14682A-7",2.07,2.12,27.12,3.87,96.06,249.11,170.98,54.03,1.35,2.32,1.23,2.41,21.03,8.98,1.14,2.31,2.16,2.26,5.35,1.09,4.33,12.97,11.2,30.5,0.3,0.1,40.3,20.7,7.2,21.1,0.3,0.3,40.7,14.2
"GM14682A-8",0.48,2.31,30.42,5.27,96.9,217.44,188.49,55.13,1.11,1.84,1.2,2.33,23.17,12.04,1.11,2.06,3.04,2.5,7.08,1.12,4.65,16.83,6.5,25.3,0,0.2,40,16,5.8,20.5,0.3,0.3,39.8,13.2
"GM14682A-9",2.27,2.03,26.32,3.13,95.98,215.81,123.81,36.28,1.98,2.65,1.03,2.05,16.2,5.42,1.23,2.88,3.04,3.42,3.76,1.08,4.35,9.77,3.4,13,1.4,1.1,40.7,5.8,6.3,15.6,1.4,1,40.6,10.9
"GM14684A-1",0.49,2.11,28.94,3.62,96.93,248.71,227.67,51.26,1.2,2.35,1.04,2.42,21.56,8.45,1.15,2.82,2.17,2.78,4.8,1.02,4.35,11.73,12,18.3,1.5,0.2,42,16.2,11.8,20.2,1.3,0.4,42.1,15.9
"GM14684A-10",0.62,2.05,27.74,3.58,97.03,239.64,219.61,53.12,1.94,2.33,1.04,2.44,17.56,7.66,1.17,2.27,2.14,2.48,4.97,1.1,4.29,12.11,6.4,24.9,1.9,1.6,40.9,14.8,8.2,24.5,1.7,1.3,41,16.3
"GM14684A-11",0.2,2.07,30.07,4.65,96.69,258.77,242.53,66,1.23,2.62,1.22,2.38,24.71,11.65,1.14,2.86,3.01,2.65,6.16,1.08,4.65,14.65,1.9,13.4,1.5,1.4,41.1,8,4.7,17.5,1.1,1.2,41.6,11.2
"GM14684A-12",0.23,2.16,28.5,4.31,94.15,291.03,286.17,73.65,1.93,2.86,1.06,2.18,24.92,8.08,1.48,2.38,2.98,2.42,5.78,1.01,4.74,14.23,4.4,16.3,1.2,1.7,39.8,8.9,5.9,16.3,1.3,1.4,39.8,11.2
"GM14684A-2",1.68,2.11,27.59,5.04,97.94,230.47,179.74,46.72,1.92,2.81,1.03,2.1,28.67,9.17,1.14,2.33,1.45,2.56,6.5,1.07,4.33,16.17,7.7,27,2,1.5,38.8,18.2,8.3,25.3,1.8,1.3,38.9,16.8
"GM14684A-3",0.06,2.09,29.06,4.83,96.22,243.43,243.89,54.49,1.86,2.7,1.04,2.37,21.5,9.93,1.11,2.2,2.02,2.33,6.52,1.01,4.24,15.79, , ,1.5,1.3,43.5, , , ,1.5,0.9,43.1, 
"GM14684A-4",0.27,2.1,27,3.66,96.72,237.97,224.15,59.53,2.08,2.93,1.04,2.07,20.19,8.07,1.21,2.2,3.04,2.59,4.26,1.04,4.33,10.89,5.1,20.9,0.8,0.8,42,11.4,6.7,20,0.9,0.9,42.1,13.5
"GM14684A-5",3.22,1.31,27.4,3.36,95.07,253,116.34,46.94,2.01,2.45,1.23,2.47,20.11,6.83,1.12,2.68,2,2.87,4.63,1.05,4.65,11.45, , ,1.5,0.9,42.7, , , ,1.2,0.9,42.8, 
"GM14684A-7",0.28,2.06,26.43,4.1,97.18,255.54,231.04,48.92,1.8,2.91,1.04,2.08,23.56,11.08,1.12,2.35,2.45,2.4,5.63,1.1,4.41,13.67,6.1,22.9,0.6,0.7,42.9,15.1,6.3,21.1,0.7,0.4,42.6,13.7
"GM14684A-8",2.95,2.11,28.34,4.06,96.61,242.62,135.56,52.74,1.37,2.86,1.22,2.41,17.22,7.98,1.16,2.28,1.26,2.39,5.81,1.08,4.69,13.98,10.2,31.9,1.2,0.1,41.7,20.5,8.8,24.6,0.9,0.4,41.9,16.7
"GM14684A-9",1.13,2.02,29.52,3.6,97.61,247.15,199.42,54.98,1.92,2.52,1.05,2.09,19.64,8.36,1.12,2.36,1.44,2.65,4.4,1.02,4.34,11.03, , ,0.6,0.3,42.3, , , ,0.7,0.2,42.7, 
"GM14685A-1",4.03,2.16,29.37,3.88,92.6,214.67,92.55,42.17,2.22,3.25,1.05,2.44,19.95,9.23,1.14,2.81,3.07,2.77,5.2,1.06,4.32,12.62,2.1,4.2,1.5,1.5,42.8,1.8,5.9,12.8,1.6,1.4,42.6,9.3
"GM14685A-3",3.74,2.09,27.93,2.79,90.05,218.1,73.29,41.44,2.39,3.44,1.03,2.41,16.87,6.96,1.16,2.8,2.17,2.92,3.64,0.96,4.29,9.12,4.1,7.5,0.1,0.2,41.5,5.6,4.9,9.2,0.2,0.3,41.7,7.1
"GM14687A-2",2.28,2.15,30.49,2.95,96.77,216.67,118.47,41.89,2.43,3.38,1.03,2.08,16.7,6,1.16,2.81,1.26,2.83,3.91,1.03,4.34,9.73, , , , , , , , , , , , 
"GM14688A-2",3.84,2.15,32.93,3.63,97.23,198.42,83.97,39.4,1.32,2.83,1.06,2.1,17.79,8.43,1.14,2.26,3.04,2.57,4.75,1.1,4.3,11.62,8.4,20.2,1.2,1.8,40.7,14.7,6.1,13.5,1.6,1.7,40.7,9.6
"GM14688A-3",0.19,2.04,28.91,1.77,97.81,191.96,180.38,52.5,2.31,3.74,1.03,1.79,17.84,5.61,1.57,2.39,2.81,4.02,2.66,1.06,4.1,6.33, , , , , , , , , , , , 
"GM14688A-5",2.42,2.08,30.75,2.83,97.27,239.77,113.93,50.1,1.2,2.4,1.06,2.4,17.87,7.15,1.68,2.87,2.98,3.21,3.75,1.09,4.28,9.03,4.3,13.8,2.8,2.4,39.5,8.4,5,13.1,2.6,2.2,40,9.1
"GM14688A-8",2.15,2.2,32.4,3.45,89.87,219.2,111.81,50.96,1.74,2.72,1.05,2.09,17.07,7.74,1.13,2.79,3.05,3.46,4.69,1.08,4.38,11.47, , ,-0.1,0,37.6, , , ,0.1,0.1,37.7, 
"GM14690A-1",0.37,2.14,27.52,3.03,90.72,198.73,161.52,48.22,2.37,3.35,1.03,2.09,17.48,6.51,1.15,2.26,2.15,3.16,3.95,1.06,3.99,9.83,4.1,4.9,0,0.4,36.6,5.3,3.9,8.5,0.1,0.3,37.3,6.3
"GM14690A-10",1.1,2.11,26.95,5.12,96.59,214.39,135.78,51.19,1.68,2.56,1.04,2.63,22.53,10.15,1.2,2.17,3.02,2.14,7.43,1.05,4.34,17.98,2.8,1.7,0.1,0.4,37.6,3,3.4,5.4,0.1,0.2,38.3,4.7
"GM14690A-11",1.34,2.13,32.18,3.69,96.46,194.19,130.5,47.57,2.37,3.27,1.03,2.44,21.85,8.17,1.16,2.8,2.16,2.83,4.55,1.06,4.24,11.16,4.6,6.5,0.4,0.9,40.8,5.2,3.3,6.6,0.3,0.3,40.9,5.1
"GM14690A-12",1.46,2.44,25.12,2.39,91.55,230.53,172.61,47.86,1.95,3.17,1.05,2.52,13.89,5.66,1.23,3.07,2.88,4.24,3.23,1.08,4.37,7.76, , , , , , , , , , , , 
"GM14690A-2",1.81,2.13,29.56,3.89,95.35,224.37,116.77,47.7,1.33,3.24,1.06,2.12,18.31,7.77,1.12,2.78,2.14,2.97,5.37,1.09,4.39,13,6.2,14.3,0.4,0.8,38.7,9.7,5.2,13.5,0.4,0.4,39.2,9.4
"GM14690A-4",1.63,2.07,33.85,1.44,97.49,234.04,147.5,55.08,2.24,2.64,1.05,2.06,11.27,3.38,1.29,2.9,3.01,4.2,1.52,1.12,3.99,3.92,4.9,11.9,0.1,0,41,8,5.5,12.1,0.1,0.2,41.5,8.8
"GM14690A-5",0.15,2.15,30.97,2.46,95.96,195.68,158.14,44.53,2.24,3.59,1.03,2.03,15.44,7.13,1.15,2.32,3.07,2.95,3.4,1.01,4.25,8.6,4.6,6.5,0.2,0,38.3,5.5,6,11.3,0.1,0.2,39,8.7
"GM14690A-6",0.3,2.03,28.64,2.19,95.86,232.99,215.9,53.54,2.6,4.04,1.08,2.4,13.51,5.06,1.24,2.83,2.47,2.94,3.25,1.08,4.33,7.98,5.1,11,-0.9,0.3,37.3,8.6,4.2,9.2,0,0.5,37.6,6.6
"GM14690A-7",3.92,2.1,29.51,2.7,83.43,257.86,120.96,51.79,2.32,3.45,1.05,2.07,14.24,5.71,1.15,2.83,1.27,3.25,3.47,1.02,4.3,8.74,4.4,7.7,-0.2,0.2,41.7,5.6,4.6,9.4,0.1,0.4,41.6,7
"GM14690A-9",0.3,2.11,29.17,3.26,91.14,194.52,182.22,33.51,2.5,3.56,1.03,2.08,16.52,6.33,1.14,2.13,1.09,2.85,4.15,1.12,4.07,10.09,8.5,12.2,0.1,0.1,37.9,9.7,3.7,7.3,0.2,0.2,38.1,5.4
"GM14691A-1",1.05,2.03,31.96,4.33,96.18,252.08,211.73,51.2,1.61,2.21,1.04,2.38,17.93,7.36,1.52,2.36,1.1,2.58,5.34,1,4.45,12.88,3.4,-0.4,2.4,2.3,39.8,4.7,5.7,12.1,1.7,1.7,39.2,8.8
"GM14691A-10",1.36,2.1,29.13,4.22,90.89,259.7,216.42,65.99,2.1,2.61,1.07,2.15,17.96,7.73,1.59,2.51,2.93,2.88,4.98,1.03,4.57,12.56,11.1,27.7,1.6,1.6,38.4,19.2,9.3,20.9,1.6,1.5,38.5,15.2
"GM14691A-11",2.03,2.13,32.42,3.46,96.75,223.92,164.59,42.1,2.43,3.24,1.03,2.1,21.4,7.48,1.16,2.79,2.16,2.8,4.24,1.06,4.28,10.48,7.2,13.4,0.6,0.3,38.3,10.3,4.5,8.7,0.6,0.3,38.9,6.7
"GM14691A-2",1.77,2.12,29.86,3.53,95.92,242.78,163.3,44.63,1.68,3.1,1.03,2.37,23,10.89,1.15,2.84,1.27,2.93,4.91,1,4.26,11.97,1.7,5.1,0.9,1,38.9,0.8,5.4,11.1,1,0.9,38.4,8.1
"GM14691A-3",4.66,2.16,27.92,3.54,85.63,255.45,115.28,42.82,1.68,2.77,1.05,2.43,21.93,9.95,1.14,2.81,1.27,2.7,4.81,1.11,4.34,11.75,1.4,3.3,0.8,1.5,37.4,0.9,4.8,8.8,1,1.3,37.3,6.8
"GM14691A-4",1.61,2.1,25.97,2.89,89.47,247.05,205.37,57.68,2.34,2.86,1.03,2,16.24,6.3,1.15,2.35,2.17,2.84,4.12,1.11,4.36,10.2,8.6,27.3,1.3,1.3,39.6,17.7,7.7,22.3,1.4,1.3,39.6,15.1
"GM14691A-5",2.88,2.12,31.72,4.13,91.54,241.64,118.01,46.37,1.15,2.79,1.03,2.42,16.97,7.46,1.15,2.8,2.17,2.36,5.4,1.07,4.41,13.08,5.3,8.1,1,1.1,38.6,5.6,4.6,9.1,0.5,1,39,6.9
"GM14691A-6",1.42,2.04,30.43,3.74,96.23,217.29,119.95,41.31,1.95,3.2,1.03,2.36,19.59,9.75,1.1,2.39,1.1,2.93,4.83,1.01,4.24,11.91,8.3,22.4,1.3,0.4,41.9,14.9,7.6,19.6,1.3,0.5,42.7,13.5
"GM14691A-7",1.26,2.12,31.87,3.9,96.91,255.14,199.01,47.27,1.86,2.49,1.04,2.43,20.37,8.48,1.16,2.27,2.16,2.44,4.95,0.99,4.69,12.07, , ,2.3,1.7,42.6, , , ,1.6,1.2,41.4, 
"GM14691A-8",3.16,2.13,27.38,3.8,96.08,269.66,180.2,53.02,2.33,2.9,1.04,2.03,24.41,11.1,1.15,2.31,1.25,2.43,5.56,1.13,4.64,13.42,4.2,14.2,0.3,0.2,40,9.2,4.9,14.2,0.3,0.3,40.1,9.7
"GM14691A-9",2.11,2.11,27.55,3.05,89.99,236.13,145.72,48.42,1.85,3.35,1.03,2.42,12.75,6,1.17,2.26,3.06,2.91,3.93,1.12,4.03,9.78,7.1,11.2,0.1,0.6,37.4,9.8,5.2,11.3,0.6,0.9,37.4,8.3
"GM14694A-10",1.31,2.05,31.22,4.94,96.84,237.64,178.53,55.12,1.59,2.06,1.04,2.39,24.42,9.32,1.18,2.21,3.01,2.56,5.97,1.07,4.32,14.76, , ,-0.2,-0.1,42.8, , , ,0.2,0.2,42.5, 
"GM14694A-11",1.49,2.12,31.36,4.19,98.49,220.54,158.93,45.82,1.24,2.89,1.25,2.44,22.83,9.23,1.14,2.29,1.27,2.44,5.44,1.05,4.43,13.16,1.6,2.5,0.4,0,44.3,3.4,3.6,9.2,0.4,0.3,43.9,6.3
"GM14694A-12",1.2,2.04,31.84,7.12,96.45,235.71,137.29,60.53,2.06,3.34,1.04,2.38,27.75,15.76,1.08,2.22,2.98,1.91,9.01,1.05,4.36,21.74,1,1.9,2.5,1.5,40.5,1.9,5,10.9,1.8,1,40.5,8
"GM14694A-3",1.08,2.16,30.88,4.2,95.53,226.93,194.28,49.92,2.26,3.33,1.06,2.47,19.9,10.56,1.14,2.8,1.24,2.32,5.48,1.07,4.29,13.24,4.4,12.8,0.8,0.2,41.1,8.8,5,14,0.8,0.4,41.2,9.5
"GM14694A-4",2.36,2.11,29.47,3.54,95.32,225.2,109.48,37.94,1.88,2.83,1.03,2.37,15.41,6.91,1.15,2.85,3.07,2.37,4.65,1.11,4.31,11.38,4.4,7.4,-0.2,-0.2,37.6,5.8,3.6,7,0.1,0.1,38.6,5.3
"GM14694A-5",0.64,2.11,31.9,3.96,96.79,194.31,150.09,47.45,2.42,3.41, ,2.06,21.41,11.58,1.15,1.76,3.07,2.33,5.13,1.08,4.28,12.46,3.2,6.3,1.1,1.4,39.2,4.6,4.4,8.6,1,1.2,39.9,6.6
"GM14694A-6",1.14,2.17,32,3.21,97.04,231.61,190.81,41.93,2.36,3.36,1.21,2.09,18.49,7.4,1.15,2.26,1.26,2.8,3.88,1.03,4.3,9.67, , ,0.8,1,38.2, , , ,0.8,0.9,38.9, 
"GM14694A-7",1.98,2.07,29.7,3.92,98.82,214.01,157.32,42.26,1.84,2.94,1.07,2.43,20.76,9.57,1.12,2.37,1.06,1.96,5.71,1.08,4.38,13.47,8,23,0.2,0.5,35.9,15.8,7.2,21.3,0.6,0.7,36.1,14.4
"GM14694A-9",1.27,2.3,30.89,3.32,92.57,259.98,188.56,51.58,2.04,3.43,1.05,2.11,16,6.12,1.13,2.2,1.02,2.85,4.26,0.98,4.09,10.67,6.3,26.5,0.5,0.3,36.7,16.5,6.6,24.1,0.5,0.3,37.1,15.5
"GM14697B-1",0.79,2.11,27.76,5.07,97.38,229.57,169.64,44.69,1.69,3.19,1.03,2.31,20.64,10.09,1.14,2.86,2.43,2.45,6.36,1.35,4.36,16.17,5.3,19.1,-0.7,-0.2,39.1,11.4,4.8,10.8,0.2,0.5,39.2,7.8
"GM14697B-2",1.29,2.12, , ,95.73,229.23,157.6,52.72,2.41,3.43,1.02,1.68, ,4.56,1.16,2.31,2.17,3.71, ,2,4.32, ,6.6,14.1,2.2,1.4,42.7,10.7,6.6,16.1,1.8,1.3,42.5,11.4
"GM14697B-3",3.34,2.07,26.65,2.94,96.86,198.85,74.46,44.44,2.54,3.73,1.04,2.39,16.83,6.54,1.11,2.21,3,2.92,3.97,0.97,4.31,10.14,3.9,7.8,0.8,0.7,38.5,7.4,6,15.2,0.6,0.6,38.3,10.6
"GM14701B-1",2.98,2.12,27.69,6.08,96.74,240.58,116.78,50.8,1.75,2.36,1.04,2.07,26.2,12.64,1.16,2.28,2.17,2.35,9.09,0.96,4.47,21.33,1.9,6.2,0.8,0.4,37.2,1.8,4.9,9.7,0.9,0.4,37.5,7.4
"GM14701B-12",1.91,2.14,28.95,3.46,97.6,218.48,115.65,42.68,1.7,3.43,1.04,2.42,19.24,7.4,1.14,2.26,1.26,2.68,4.57,1.1,4.34,11.22,1.5,5.9,1.4,1.3,40.1,1.4,4.8,9.3,1.4,1.2,40,7.3
"GM14701B-2",0.4, , , ,96.35,158.79,104.37,30.31,2.3,4.06, , , , , , , , , ,1.89,3.97, , , ,0.2,0.1,32.4, , , ,0.2,0.2,33, 
"GM14701B-4",0.58,2.15, , ,96.83,215.48,186.31,41.44,2.42,3.5,1.03,2.07,13.85,4.61,1.15,2.29,1.27,3.8,2.68,1.86,3.94, , , , , , , , , , , , , 
"GM14701B-7",2.93,2.19,29.36,3.14,95.61,213.16,81.44,40.43,1.38,3.32,1.05,2.29,18.23,6.83,1.2,1.63,2.47,2.99,4.2,1.14,4.1,10.31, , ,1.6,1.7,38.2, , , ,1.5,1.5,38.7, 
"GM14701B-8",2.88,2.13,30.07,4.21,96.97,240.79,133.16,52.03,1.87,2.81,1.02,2.43,22.55,10.87,1.16,2.79,1.26,2.35,5.54,1.05,4.32,13.39,3.2,5.1,0.6,1.1,38.6,4.7,4.2,8.9,0.7,1,39.2,6.6
"GM14701B-9",1.16,2.17,26.5,4.47,98.1,220.32,116.33,43.86,1.2,2.28,1.04,2.42,27.23,14.23,1.14,2.27,1.26,2.18,6.46,1.12,4.33,15.45,2.1,6.6,0.3,0.3,29.7,4.4,4.3,11.9,0.1,0.4,30.9,8.1
"GM14709A-1",2.89,2.53,28.63,3.5,97.46,211.07,102.96,47.42,1.92,2.87,1.05,2.43,20.06,7.38,1.16,2.8,3.06,2.34,4.71,1.04,4.27,11.52,3.3,6.8,1.3,1.8,38.7,3.3,5.8,10.4,1.3,1.5,39.1,8.1
"GM14709A-10",0.56,2.12,29.36,3.37,97.95,270.09,207.74,57.39,1.21,2.26,1.21,2.39,21.86,9.36,1.14,2.38,3,2.68,5.07,1.04,4.53,11.76,4.9,12.2,0.3,0.4,37.7,7.9,4.7,11,0.3,0.3,38,8.1
