"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14321A-6",0.8,2.11,27.48,2.44,94.95,193.18,138.77,37.95,1.38,2.82,1.03,1.68,16.79,6.87,1.15,2.33,3.07,3.27,3.25,1.11,4.35,8.25,12.2,25.4,0.8,0.5,41.5,18.8,9.8,19.2,0.9,0.7,41.6,14.4
"GM14321A-8",0.62,2.05,27.05,1.8,84.34,196.3,154.83,57.72,1.37,4.1,1.08,1.68,18.25,4.15,1.1,1.96,2.94,3.54,2.65,2.73,4.03,6.6,24.1,34,1,1.2,40.2,30.1,19.7,30,1.1,0.9,40.1,24.6
"GM14321A-9",2,2.05,26.25,1.07,75.29,238.17,167.29,42.76,2.19,3.25,1.04,1.88,8.52,3.79,1.14,2.7,2.99,3.26,1.66,2.77,4.17,4.1,10.6,29,1.4,1.1,42,19,11.5,28.2,1.1,1,42.4,20
"GM14323B-1",0.06,2.05,28.22,4.16,96.25,285.89,288.67,58.82,1.77,1.86,1.04,2.58,20.92,8.01,1.15,2.2,2.98,2.02,5.67,1.07,4.64,13.83,6.6,5.3,2.1,1.6,42.7,8.3,7.7,13.6,1.6,1.3,42.1,10.9
"GM14323B-2",0.27,2.52,26.14,3.32,96.78,239.96,221.82,48.43,1.33,2.61,1.03,2.12,20.18,9.18,1.14,2.84,2.42,2.64,5.06,2.07,4.21,12.32,6.9,21.7,1,1.1,41.4,12.2,10.4,25,1.3,1,41,17.5
"GM14323B-3",0.52,2.1,27.79,3.69,95.17,214.67,170.17,47.46,1.93,3.38,1.02,2.31,24.28,8.07,1.15,2.87,2.17,2.38,5.5,2.41,4.05,13.28,16.3,30.5,1.4,0.7,39.8,23.2,14,24.6,1.4,0.9,39.9,19
"GM14323B-4",1.78,1.97,24.96,2.82,95.67,242.44,197.76,48.84,1.16,2.3,1.03,2.38,24.42,10.51,1.14,2.85,3.04,2.4,5.08,1.05,4.38,12.68,13.2,23.1,0.5,0.5,43.9,18.1,10.5,19.1,0.8,0.8,43.6,14.8
"GM14323B-6",0.97,1.29,28.28,3.04,95.46,215,147.9,35.04,1.16,2.78,1.07,2.25,19.83,8.52,1.12,2.84,2.94,2.64,4.55,2.25,4.39,10.85,6.6,20.1,1.5,1.1,44.8,11.1,9,21.2,1.4,0.9,44.1,15.1
"GM14323B-7",0.34,2.09,28.47,2.45,98.94,258.47,242.25,44.23,1.12,2.47,1.05,2.11,17.54,8.48,1.11,2.38,3.01,2.77,3.69,2.22,4.41,8.65,15.9,29,1.1,0.8,44.7,21.6,14,21.7,1.3,0.9,44.2,17.7
"GM14323B-8",0.52,2.17,28.38,3.15,85.16,259.49,231.76,48.7,1.18,2.41,1.04,2.07,16.84,7.73,1.14,2.8,1.26,2.67,4.12,1.11,4.32,10.2,6.7,19.1,1.3,1,45.6,11.2,9.7,21.5,1.5,0.8,45.3,15.4
"GM14359A-10",1.23,2.02,30.68,2.04,92.31,182.11,143.91,40.73,1.2,2.89,1.04,1.97,16.87,5.87,1.29,2.42,3.01,3.58,2.89,1.65,3.97,6.93,9.8,21.6,2.1,1.6,44.1,15.2,8.3,18,1.9,1.4,43.9,13.2
"GM14363A-2",-0.25,2.31,30.19,3.18,92.06,231.32,227.86,52.79,1.36,2.71,1.03,2.08,21.04,9.63,1.14,2.41,3,2.43,4.29,1.01,4.16,10.46,6,22,1.1,0.4,40,13.4,7,19.7,1.1,0.6,40.6,13.4
"GM14368A-1",3.47,2.04,32.65,3.42,95.91,195.06,80.52,36.35,1.19,3.7,1.05,2.26,19.22,7.41,1.17,2.42,3.01,3.28,3.72,2.06,4.12,9.33,19,35.2,1.4,0.9,46.5,25.3,17.9,30.2,1.3,0.8,45.9,24
"GM14368A-2",1.39,2.04,32.75,2.57,97.14,195.25,154.9,36.88,1.48,3.19,1.05,2.07,13.68,5.01,1.13,2.24,3.03,3.31,2.87,1.83,4.07,7.15,12.8,26.1,1.2,1.2,43.4,18.5,12,22.7,1.2,1.2,44.5,17.3
"GM14384A-10",0.94,1.45,32.41,5.47,96.11,235.87,169.4,51.41,1.45,2.54,1.03,2.38,27.09,9.79,1.11,2.7,3.05,2.93,6.57,1.13,4.42,16.69,9.3,11.5,1.9,1.1,44.2,12.3,9.9,18.4,1.5,0.9,43.4,14
"GM14384A-6",1.89,2.04,30.69,3.95,96.63,254.84,154.77,44.23,1.52,2.48,1.02,2.44,21.61,10.14,1.11,2.12,3.03,2.5,5.28,1.06,4.43,12.55,5.4,7.9,0.9,0.6,43.4,7,5.5,11.9,1.2,1,42.8,8.7
"GM14385B-1",2.94,2.12,32.37,4.01,96.03,203.68,79.58,40.32,1.79,3.07,1.04,2.39,25.2,10.64,1.14,2.83,1.27,2.48,4.88,1.03,4.3,11.9,6.5,11.4,0.6,0.2,40.5,9.2,6.5,14.4,0.4,0.3,40.4,10.5
"GM14385B-2",0.4,2.05,34.23,3.38,90.88,177.06,139.39,41.4,2.41,3.44,1.02,2.07,19.11,7.18,1.16,2.27,2.17,2.92,4.03,0.96,3.95,10,9.9,28.1,0.7,0.6,41.3,19.6,9.7,25.8,0.8,0.6,41.3,17.8
"GM14385B-3",3.87,1.99,33.15,4.89,97.97,202.28,61.99,40.1,2.07,3.77,1.02,2.43,21.58,9.94,1.11,2.73,2.04,2.25,5.84,0.97,4.24,14.38,10.8,34.5,0.1,0.2,42.3,22.1,9.3,27.3,0.7,0.4,42,18.3
"GM14385B-6",2.3,2.26,31.69,4.34,98.88,204.36,115.85,41.57,1.4,2.62,1.03,2.46,22.85,8.29,1.14,2.85,1.01,2.5,5.53,0.96,4.39,13.44,8,32.6,0.6,0.3,35.8,19.6,7.9,23.7,0.8,0.5,35.9,16.1
"GM14385B-8",0,2.08,29.03,2.53,94.16,177.58,158.19,43.56,1.24,3.5,1.01,1.99,17.58,9.12,1.14,2.63,2.43,2.55,3.62,1.27,3.91,8.94,7.5,36.4,0.3,0.4,39.4,22.1,7.4,28.3,0.6,0.6,39.7,18
"GM14385B-9",1.61,2.11,29.94,3.08,90.31,224.58,135.03,43.71,2.32,3.72,1.04,2.08,17.92,7.86,1.11,2.69,3.05,3.13,3.81,1.11,4,9.26,3.6,6.6,1.9,1.5,44.3,6.1,5.1,11.6,1.7,1.4,43.8,8.2
"GM14459A-1",1.32,2.4,27.29,3.47,96.99,260.96,189.72,52.04,1.6,1.77,1.03,2.45,21.24,10.51,1.13,2.12,3.01,2.06,5.38,1.1,4.29,12.67,12.4,18.6,1,0.5,41.4,15.3,11.2,18.1,1,0.5,41.2,14.4
"GM14459A-3",4.1,2.21,25.55,4.19,94.49,236.49,74.99,36.03,1.49,3.07,1.03,2.45,24.48,11.07,1.13,2.56,3,2.64,6.3,1.05,4.38,15.33,5.8,15.6,0.9,0.3,39.6,9.8,7.4,17.5,0.9,0.3,40.9,12.4
"GM14459A-4",0.89,2,28.45,2.78,79.5,216.54,175.07,60.25,1.32,2.91,1.03,1.94,19.11,6.66,1.1,2.28,2.47,2.89,4.17,0.98,3.71,9.78,11.3,20,0.6,0.5,40.3,15.5,6.9,13.7,0.7,0.3,40.4,10.2
"GM14459A-5",2.55,2.06,26.96,3.4,98.48,222.9,123.11,41.08,1.49,2.92,1.03,2.19,20.09,9.5,1.14,2.11,1.47,2.5,5.02,0.97,4.36,12.11, , , , , , , , , , , , 
"GM14459A-6",0.16,2.51,28.87,3.73,98.43,209.47,200.71,50.43,1.13,2.78,1.02,2.07,24.88,8.36,1.1,2.27,3.01,3.15,4.69,1.04,4.2,11.73,17,35.7,0.7,0.1,38.9,26.3,15.4,32.6,0.6,0.2,39.7,23.8
"GM14459A-9",3.3,2.04,26.11,2.22,84.88,210.95,103.96,37.88,1.93,3.34,1.02,2.21,15.02,7.83,1.11,2.25,2.99,3.15,3.53,1.02,3.95,8.3, , , , , , , , , , , , 
"GM14461A-9",2.08,2.1,29.22,2.76,80.52,186.85,139.07,34.39,1.41,3.27,1.04,2.09,13.54,6.26,1.16,2.34,2.98,3.08,3.27,1.42,4.07,8.3,4.4,11.2,0.9,0.4,44.8,7.5,5.6,12.2,0.9,0.4,44.9,9
"GM14463A-2",1.88,2.41,30.08,2.91,90.96,233.57,153.27,37.11,2.14,2.88,1.03,2.1,21.05,7.74,1.25,2.41,2.49,2.98,3.87,1.02,4.02,9.58, , , , , , , , , , , , 
"GM14463A-6",1.76,2.07,29.18,2.79,94.45,243.76,150.63,53.01,1.94,2.82,0.99,2.44,22.37,7.47,1.17,2.4,1.02,2.93,4.01,0.96,4.23,9.47,26.4,36,0.8,0.4,40.1,31.4,22.2,30.3,0.9,0.3,40.4,25.8
"GM14470B-1",0.57,2.19,31.89,4.66,96.08,167.46,127.92,41.48,1.25,3.09,1.21,2.41,20.47,11.61,1.11,2.74,2.56,2.57,5.86,2.06,4.02,14.54,10.7,20.2,1.6,1.1,45.7,14.1,11,19.1,1.6,1.1,45.9,14.9
"GM14549A-1",0.92,2.29,30.36,3.97,96.64,228.39,196.96,48.46,1.5,2.83,1.08,2.41,26.92,8.79,1.19,2.88,1.02,2.81,5.5,1.05,4.33,13.3,5.2,12.3,1.3,0.9,40.9,8.5,6.3,15.9,1.5,1,40.5,11.1
"GM14549A-10",1.12,2.07,24.97,1.89,98.37,234.14,127.53,41.21,1.47,2.93,1.06,2.13,16.81,6.65,1.21,2.38,2.43,3.02,3.02,1.02,4.57,7.06,5,19.4,-0.1,0.2,40,12.6,2.6,10.4,0.5,0.6,39.9,6.4
"GM14549A-5",0.4,2.52,28.72,3.99,97.85,264.96,252.24,43.32,1.44,1.98,1.07,2.47,30.9,9.2,1.1,2.2,3.04,2.37,5.86,0.96,4.59,13.75,5,18.9,1.3,0.6,39.7,11.6,4.3,16.1,1.4,0.9,40.1,10.2
"GM14549A-6",0.19,2.06,28.45,3.93,98.14,263.16,253.98,52.69,1.24,2.27,1.03,2.09,27.79,8,1.11,2.36,1.03,2.73,5.36,1.1,4.39,12.97,3.3,10.2,0.7,0,38.2,6.4,3.5,9.8,0.9,0.3,38.4,6.6
"GM14550A-1",1.39,2.14,26.26,4.08,94.51,217.78,163.58,43.37,1.27,2.77,1.08,2.48,20.2,10.5,1.12,2.78,1.24,2.2,5.78,1.07,4.42,13.91,4.1,17.3,1.2,0.9,39.3,8.7,6.6,17.9,1.2,0.7,39.7,12.3
"GM14550A-10",2.88,2.07,30.51,3.14,97.78,271.33,151.85,68.03,2.35,2.64,1.01,2.45,19.54,7.57,1.19,2.91,1.12,2.97,4.14,1.02,4.58,10.1,10,16.6,1.3,0.1,42.4,14.2,6.8,15.2,1.9,0.8,41.4,10.9
"GM14550A-2",0.29,2.04,28.84,4.54,97.92,206.66,183.73,46.15,1.09,2.35,1,2.43,23.71,12.52,1.12,2.16,3.05,2.24,6.59,1.02,4.37,15.34,7,22.1,1,1.1,39.7,14,5.6,18.8,0.9,0.6,40.3,12.4
"GM14550A-3",-0.2,2.09,27.41,3.88,97.17,262.19,268.26,59.01,2.27,2.71,0.99,2.41,25.2,10.68,1.14,2.88,2.44,1.86,5.57,0.98,4.37,13.41,6.8,16.4,1.1,0.5,43.7,11.2,7.4,17.2,0.9,0.5,43.6,12.3
